StationUID,StationID,StationName/Zh_tw,StationName/En,StationPosition/PositionLon,StationPosition/PositionLat,StationAddress,StationPhone,StationClass,StationURL
TRA-3490,3490,石龜,Shigui,120.47106,23.63951,630雲林縣斗南鎮石龜里,05-5972039,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/3490
TRA-4050,4050,大林,Dalin,120.45585,23.60112,62242嘉義縣大林鎮吉林里中山路 2 號,05-2654804,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4050
TRA-4060,4060,民雄,Minxiong,120.43136,23.55502,62142嘉義縣民雄鄉東榮村和平路 2 號,05-2264272,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4060
TRA-4070,4070,嘉北,Jiabei,120.44852,23.49985,60079嘉義市 東區後湖里保建街 110 號,05-2334584,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4070
TRA-4080,4080,嘉義,Chiayi,120.44124,23.47902,60041嘉義市 西區番社里中山路 528 號,05-2228904,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4080
TRA-4090,4090,水上,Shuishang,120.39961,23.43389,60841嘉義縣水上鄉下寮村鴿溪寮 49 號,05-2228904,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4090
TRA-4100,4100,南靖,Nanjing,120.38647,23.41346,60859嘉義縣水上鄉三鎮村三鎮路 26 號,05-2601232,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4100
TRA-4110,4110,後壁,Houbi,120.36058,23.36626,73143臺南市後壁區後壁里後壁 77 號,06-6872055,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4110
TRA-4120,4120,新營,Xinying,120.32344,23.30658,73045臺南市新營區中營里中山路 1 號,06-6322104,1,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4120
TRA-4130,4130,柳營,Liuying,120.32252,23.27762,73657臺南市柳營區東昇里建國路 1 號,06-6226450,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4130
TRA-4140,4140,林鳳營,Linfengying,120.32107,23.24259,73444臺南市六甲區中社里林鳳營 16 號,06-6986086,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4140
TRA-4150,4150,隆田,Longtian,120.31917,23.19271,72041臺南市官田區隆田里中山路一段 1 號,06-5791664,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4150
TRA-4160,4160,拔林,Balin,120.32117,23.17287,72044臺南市官田區拔林里拔子林 83 之 1 號,06-5791664,5,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4160
TRA-4170,4170,善化,Shanhua,120.30653,23.13333,74154臺南市善化區光文里中山路 1 號,06-5837301,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4170
TRA-4180,4180,南科,Nanke,120.30175,23.10714,74443臺南市新市區大營里大營 287-300 號,06-5896356,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4180
TRA-4190,4190,新市,Xinshi,120.29004,23.06816,74448臺南市新市區新和里中華路 1 號,06-5996911,3,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4190
TRA-4200,4200,永康,Yongkang,120.25374,23.03873,71090臺南市永康區埔園里中山路 459 號,06-2323305,2,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4200
TRA-4210,4210,大橋,Daqiao,120.22449,23.01951,71049臺南市永康區西橋里中華路 835 號,06-3021755,4,http://www.railway.gov.tw/tra-tip-web/tip/tip00H/tipH41/viewStaInfo/4210
